id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
47484,0.15432690468369625,0.20479486378784664,0.054804694067040492,0.0095524546002914087,0.0082878064725940507,0.0552767572215523,0.2457135306144661,0.12771782672330842,0.1395251618292043
30908,3.0669975805337042e-09,9.1622648473550508e-09,4.6646537245141893e-09,1.3268849347265666e-08,0.99999987473889729,1.8979758084032565e-08,2.4443516922902044e-08,2.2104312747742465e-08,2.9570749578570871e-08
49031,0.012796135906654018,0.014414840100083101,0.0075410270791143449,0.0026330282263449939,0.00086717661353652854,0.082976298439325788,0.0093882223205913762,0.8411892937636658,0.028193977550684125
35190,0.0020381285994814395,0.00011472909609397701,0.00010171576368243754,5.1235547605472638e-05,3.4828632038108854e-05,0.97703977519156959,0.0031637044667434311,0.0089850629816419867,0.0084708197211434168
51849,0.020415882540827789,0.0010562103017842358,0.00061148556217962885,0.0010439008634140164,0.00015594568396619138,0.029594163615762038,0.00092079215698620391,0.85636525111440986,0.089836368160669922
38821,9.3530457100392907e-08,2.005140313421616e-08,1.6431109321577877e-08,5.7346476935565912e-08,1.2906377056716536e-08,0.99991162955087809,5.0704004423529191e-05,2.2821233601606765e-05,1.4644945273294265e-05
11287,0.0066194519203474364,0.67823617954961246,0.19693750184080017,0.070689805867187427,0.00058031780981516892,0.010194973837852428,0.0075512099741076883,0.0044722594067094302,0.024718299793567811
33962,0.0043876105522208048,0.0094170460612058356,0.003049846374404979,0.00077035771926456528,9.1344749274290709e-05,0.86440989563497039,0.095918977773604822,0.02146376398191541,0.00049115715313901892
61123,0.011551214360852829,0.0022489265951403416,0.0014423582778314125,0.0013568710967264983,0.0053355939616692551,0.059028351113968647,0.00397363587087338,0.063204328325873249,0.85185872039706423
19849,0.0002428621244350235,0.33932486449160099,0.39945373158396202,0.2593342507688689,0.00037512121848034397,0.00029640349165672032,0.00061792289064320439,0.00020351299841813537,0.00015133043193456947
59924,0.0067993971631153454,0.00060800495382321679,7.7406126354088187e-05,0.00010686420774648284,1.0309643586151951e-05,0.009151672617518581,4.4227126662333279e-05,0.0023903652872872185,0.98081175287390687
19390,2.8623668946475837e-06,0.28228525104242913,0.71525136268130007,0.00093948103091126567,0.0003133895545621183,0.00029060149701966417,0.00039361790523143329,0.00050917988402141381,1.425403763030223e-05
54569,9.4182720108757542e-08,3.9839508246704242e-08,3.7150611021807397e-08,3.2320705978441001e-08,2.3461768744873303e-08,9.1107234128882308e-08,5.5331504840870461e-08,0.99999393286007776,5.693745869214221e-06
12999,0.0071410901236595306,0.67396030536892026,0.13526149859381337,0.038767971670448029,0.0022998374962443836,0.012125254809747304,0.10367422253838743,0.003194671668940976,0.023575147729838694
47247,0.00089304089149186796,0.26822803202560841,0.44198798477077411,0.0152733199837175,0.00031564326924720456,0.0014488572486260989,0.27095592882414837,0.00049624806263469292,0.00040094492375171973
